Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Forest area (% of land area),AG.LND.FRST.ZS,West Bank and Gaza,PSE,1.50830564784053,1.50830564784053,1.6843853820598,1.6843853820598,1.6843853820598,1.6843853820598,1.6843853820598,1.6843853820598,1.68298755186722,1.68298755186722,1.68298755186722,..
Forest area (% of land area),AG.LND.FRST.ZS,"Yemen, Rep.",YEM,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,1.03983180862549,..
Forest area (% of land area),AG.LND.FRST.ZS,Zambia,ZMB,63.7780976338127,63.2965199962335,61.5492540927373,61.2959550168821,61.0428846231453,60.789706614294,60.5365151535533,60.283337144702,60.0301501230848,59.7769691548178,59.523784150984,..
Forest area (% of land area),AG.LND.FRST.ZS,Zimbabwe,ZWE,48.6666149670415,47.4757141010728,45.6893628021197,45.5702727155228,45.4511826289259,45.3320925423291,45.2130024557322,45.0939123691353,44.9748222825385,44.8557321959416,44.7366421093447,..
Forest area (% of land area),AG.LND.FRST.ZS,Africa Eastern and Southern,AFE,42.9752498758181,39.1047528492012,31.2604197322287,31.0396815593755,30.8243162615385,30.6115118196972,30.3916258622835,30.1742524356603,29.9551937873237,29.7372051021705,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Africa Western and Central,AFW,22.7769081273257,21.5952835465819,20.2342307683804,20.1526101563381,20.0713271823989,19.9860995956125,19.9012301104615,19.8167839774834,19.7320365324224,19.6474877713602,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Arab World,ARB,1.78607679772462,1.72240922488866,2.90093803852791,2.88332326122098,2.86394290918001,2.84442046915972,2.82662078765584,2.80889526080167,2.79112084453801,2.77355392704447,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Caribbean small states,CSS,91.5268078916791,90.9667714113961,90.1484341323303,90.0676618114364,89.9970268057463,89.9140212644238,89.8309404460082,89.7479349046858,89.6648789277109,89.581856825428,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Central Europe and the Baltics,CEB,27.7038335099302,32.4694719942369,34.3399778411909,34.3939142269346,34.4710840221623,34.5008820276483,34.5318870374642,34.5592847264491,34.5892800367668,34.6188570565974,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Early-demographic dividend,EAR,26.3447505660516,24.3154587381178,23.1145831227005,23.0686458167009,22.979169217919,22.9114950315294,22.845451012812,22.7804502901358,22.7044536487043,22.6533885340928,..,..
Forest area (% of land area),AG.LND.FRST.ZS,East Asia & Pacific,EAS,26.268204752678,26.0484255580453,26.9760461602674,27.0866795018853,27.0860590597728,27.1167072640353,27.148011008033,27.1798473794798,27.1947367886103,27.2266471169087,..,..
